	path	cpd	path_class	lipid_core	smiles	MaxEStateIndex	MinEStateIndex	MaxAbsEStateIndex	MinAbsEStateIndex	qed	MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxPartialCharge	MinPartialCharge	MaxAbsPartialCharge	MinAbsPartialCharge	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	HallKierAlpha	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	FractionCSP3	HeavyAtomCount	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	MolLogP	MolMR	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea
0	map00061	C00024	lipid_metabolism	Fatty Acyls [FA]	[C@@H]1([C@H](O)[C@H](OP(=O)(O)O)[C@@H](COP(O)(=O)OP(O)(=O)OCC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C)=O)C)O1)N1C=NC2C(N)=NC=NC1=2	12.612955547165752	-5.557255668519344	12.612955547165752	0.03098265898685404	0.05869204335504682	809.5779999999997	771.2739999999998	809.1257736459999	288	0	0.4807077013816809	-0.3855377637560348	0.4807077013816809	0.3855377637560348	1.0784313725490196	1.7450980392156863	2.392156862745098	1.5534393251556835	1710.034746884538	38.36323207281988	27.0741990677021	30.573977221629566	23.51709351471486	14.540528928430598	20.047314461444966	11.409360328704524	16.916989255363458	6.807106888658494	10.721593630337846	4.324943436669836	7.645542587699785	-2.44	34567144578.26425	42.968306711664795	17.589923055001428	12.876498185098843	292.7835224811522	50.890808839666214	36.25988634337401	22.808218099523344	11.814359458703011	0.0	23.46809136939651	32.52195268514227	28.64708041763561	4.310631369623587	0.0	25.60935934877236	0.0	37.60191571058535	19.541084003790377	80.48419341625987	69.14135342389538	0.0	30.15261241864564	5.41499046939678	57.83579994372596	37.78979782475996	12.654640149529083	0.0	0.0	16.367244685174846	5.817862777835028	0.0	35.22997631878763	122.70736869880399	50.69749221556854	5.41499046939678	33.419934392732756	12.654640149529083	0.0	11.16387793838399	0.0	363.6299999999999	84.55497194825023	57.86545760770076	0.0	41.607352081155895	5.752853606746789	28.983624746711556	20.771211599071872	0.0	0.0	34.41989130218969	19.51802475438587	61.81909307396561	1.0250700260434773	85.9277956095952	26.05415364893757	4.260427848703962	-1.0849156903844814	0.0	-6.880791377836623	1.9013656273498227	-16.355532099707855	0.6521739130434783	51	10	24	0	1	1	0	2	2	19	9	28	19	0	1	1	3	-1.315399999999993	172.77209999999977	0	2	2	1	0	4	0	0	0	0	3	3	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1	map00061	C00083	lipid_metabolism	Fatty Acyls [FA]	[C@@H]1([C@H](O)[C@H](OP(=O)(O)O)[C@@H](COP(O)(=O)OP(O)(=O)OCC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O)C)O1)N1C=NC2C(N)=NC=NC1=2	12.629941495746479	-5.586570030203283	12.629941495746479	0.01852248523285316	0.037375117378062934	853.5869999999998	815.2829999999998	853.1156028859999	304	0	0.4807077013816809	-0.48088327525914415	0.48088327525914415	0.4807077013816809	1.0555555555555556	1.7222222222222223	2.3703703703703702	1.5085844833062803	1828.0807716125053	40.64768912319606	28.136767734852466	31.63654588877993	24.91094036483221	15.175366652599054	20.682152185613422	11.86030241135546	17.248358182145342	7.060394686427371	11.03466800604125	4.469556471546225	7.955906404793283	-2.97	129987117283.29327	45.4196015366579	18.777970635589938	13.649538915582166	308.1042204477886	55.99733623450692	42.68070796630003	22.808218099523344	11.814359458703011	0.0	29.43739665734836	37.31648986921409	28.64708041763561	4.310631369623587	0.0	25.60935934877236	0.0	30.67817851089473	19.541084003790377	90.3852579951724	75.11065871184722	0.0	30.15261241864564	5.41499046939678	57.33288436696135	37.78979782475996	12.654640149529083	0.0	0.0	16.367244685174846	5.817862777835028	0.0	35.22997631878763	133.78320138159657	55.49202939964036	5.41499046939678	32.917018815968135	12.654640149529083	0.0	11.16387793838399	0.0	400.9299999999999	102.06037578931381	62.65999479177258	0.0	42.24492875771698	0.0	28.983624746711556	13.847474399381248	0.0	0.0	34.41989130218969	24.624552149226574	61.815552691297825	0.7177089149323659	96.97875356321629	34.01671239954538	4.188400125200475	-2.7952839895682122	0.0	-7.7820331489087895	0.13190381985678168	-16.438381042238767	0.625	54	11	26	0	1	1	0	2	2	20	10	30	21	0	1	1	3	-1.860599999999993	179.3508999999998	1	2	2	1	0	4	0	0	1	1	4	3	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
2	map00061	C00154	lipid_metabolism	Fatty Acyls [FA]	[C@@H]1([C@H](O)[C@H](OP(=O)(O)O)[C@@H](COP(O)(=O)OP(O)(=O)OCC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCCCCCCCCCCC)C)O1)N1C=NC2C(N)=NC=NC1=2	12.731704060976686	-5.572363310738214	12.731704060976686	0.033769854458214565	0.03580690668078684	1005.9559999999988	939.4279999999993	1005.3448745419998	372	0	0.4807077013816809	-0.3855377637560348	0.4807077013816809	0.3855377637560348	0.8769230769230769	1.476923076923077	2.0923076923076924	1.3235367356679781	1960.177095206628	48.26272700943153	36.97369400431375	40.473472158241215	30.55509831717564	21.601189100210412	27.107974633224785	16.28242785995475	21.670483630744634	10.2492856250989	14.283345522647295	6.65432345161505	10.203811159305284	-2.44	32396128254649.695	56.880960185735404	27.529448831924487	20.761176709314864	381.8927120827044	50.890808839666214	36.25988634337401	22.808218099523344	11.814359458703011	0.0	23.46809136939651	32.52195268514227	28.64708041763561	4.310631369623587	0.0	109.58295602357512	6.4208216229260096	37.09900013382074	19.541084003790377	80.48419341625987	69.14135342389538	0.0	30.15261241864564	5.41499046939678	147.72730266469017	37.78979782475996	12.654640149529083	0.0	0.0	16.367244685174846	5.817862777835028	0.0	35.22997631878763	122.70736869880399	50.69749221556854	5.41499046939678	123.31143711369693	12.654640149529083	0.0	11.16387793838399	0.0	363.6299999999999	84.55497194825023	57.86545760770076	0.0	41.607352081155895	12.1736752296728	48.24608961548958	78.05569062864136	0.0	0.0	41.34362850188032	19.51802475438587	62.38914797755017	1.1544606877749155	88.26854671651067	26.647954617013973	4.287912078359165	-1.0179863806090952	0.0	9.52681380871418	2.80814981740102	-16.398332656048296	0.7837837837837838	65	10	24	0	1	1	0	2	2	19	9	28	33	0	1	1	3	4.146000000000002	237.4100999999994	0	2	2	1	0	4	0	0	0	0	3	3	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0
3	map00061	C00249	lipid_metabolism	Fatty Acyls [FA]	OC(CCCCCCCCCCCCCCC)=O	10.300651416454157	-0.654562036092502	10.300651416454157	0.34499999999999975	0.4134897831112085	256.42999999999995	224.17399999999995	256.240230264	108	0	0.30283955653218375	-0.481230389785217	0.481230389785217	0.30283955653218375	0.6666666666666666	1.0	1.3333333333333333	2.9229656090325555	177.93577382145608	13.476845205801295	12.254956822575489	12.254956822575489	8.770055610029663	7.988391114761731	7.988391114761731	5.386379230342637	5.386379230342637	3.4941955573808654	3.4941955573808654	2.2939926781192805	2.2939926781192805	-0.53	8372.602988287019	17.470000000000002	14.530716454159078	15.469999999999994	113.16913859601848	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	83.97359667480276	6.4208216229260096	6.4208216229260096	0.0	9.901064578912528	5.969305287951849	0.0	0.0	0.0	96.81523992065479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	4.794537184071822	0.0	96.81523992065479	0.0	0.0	0.0	0.0	37.3	5.969305287951849	4.794537184071822	0.0	0.0	6.4208216229260096	12.841643245852019	70.62903785218613	0.0	0.0	6.923737199690624	5.106527394840706	0.0	0.0	10.300651416454157	8.490622453174492	0.0	-0.654562036092502	0.0	17.269574476586804	2.260380356543716	0.0	0.9375	18	1	2	0	0	0	0	0	0	1	1	2	14	0	0	0	0	5.552300000000006	77.94780000000006	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
4	map00061	C00383	lipid_metabolism	Fatty Acyls [FA]	C(CC(=O)O)(=O)O	9.428888888888888	-1.3125000000000002	9.428888888888888	0.8055555555555558	0.464877093759921	104.06099999999998	100.029	104.01095860800001	40	0	0.3142016814988686	-0.4808059082153091	0.4808059082153091	0.3142016814988686	1.1428571428571428	1.4285714285714286	1.4285714285714286	3.318019590380522	83.10802962390817	5.8618073195657985	3.4180305531141895	3.4180305531141895	3.1258976576862287	1.5625686671503685	1.5625686671503685	0.964253781743343	0.964253781743343	0.30245145030582543	0.30245145030582543	0.12936784404555712	0.12936784404555712	-1.06	19.093583929800843	5.94	2.173434230067226	4.939999999999999	39.380646961102315	10.213054789681411	6.4208216229260096	0.0	0.0	0.0	11.938610575903699	9.589074368143644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.802129157825057	11.938610575903699	0.0	0.0	0.0	6.4208216229260096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.15166536558511	9.589074368143644	0.0	6.4208216229260096	0.0	0.0	0.0	0.0	74.6	18.35943219882971	9.589074368143644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.213054789681411	0.0	0.0	18.857777777777777	15.40611111111111	0.0	-2.625	0.0	-0.8055555555555558	0.0	0.0	0.3333333333333333	7	2	4	0	0	0	0	0	0	2	2	4	2	0	0	0	0	-0.4543	19.8886	2	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	map00061	C00712	lipid_metabolism	Fatty Acyls [FA]	C(CCCCCCC/C=C\CCCCCCC([2H])([2H])C([2H])([2H])[2H])(=O)O	10.353004512684981	-2.521829738910497	10.353004512684981	0.10298030057611274	0.2745795942552267	287.4985088899999	248.19599999999994	287.287264058	118	0	0.30283955653219446	-0.4812303897852169	0.4812303897852169	0.30283955653219446	0.9	1.45	2.05	3.377111220687561	378.15293934348927	19.183951986987843	17.702550579768193	12.702550579768195	11.666502219436389	10.534667638429518	8.034667638429518	5.30125054384011	5.30125054384011	3.350667152548092	3.350667152548092	2.133577204670259	2.133577204670259	-0.79	137696.79937900233	11.824886354122794	16.264914881933006	17.21	132.2342722934665	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	70.3226085927749	32.10410811463005	13.27461440377711	0.0	16.754857359763626	5.969305287951849	0.0	0.0	0.0	96.69549811666322	0.0	12.152040213667762	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	4.794537184071822	0.0	103.5492908975143	12.152040213667762	0.0	0.0	0.0	37.3	19.194122306576908	4.794537184071822	0.0	12.841643245852019	6.4208216229260096	64.20821622926012	0.0	0.0	0.0	12.152040213667762	11.960320175691807	36.507606133449336	0.0	10.353004512684981	8.52407888034475	0.0	-0.7093309519085385	0.0	13.513137831006635	-2.521829738910497	0.0	0.8333333333333334	20	1	2	0	0	0	0	0	0	1	1	2	16	0	0	0	0	6.108500000000006	87.08780000000007	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
6	map00061	C01530	lipid_metabolism	Fatty Acyls [FA]	C(CCCCCCCC)CCCCCCCCC(=O)O	10.333207244414826	-0.6530610164081214	10.333207244414826	0.3454921184159938	0.3360419785922725	284.4839999999999	248.19599999999994	284.271530392	120	0	0.3028395565321837	-0.481230389785217	0.481230389785217	0.3028395565321837	0.6	0.9	1.2	2.938980066543728	201.59490309182667	14.891058768174391	13.669170384948584	13.669170384948584	9.770055610029663	8.988391114761729	8.988391114761729	6.093486011529184	6.093486011529184	3.9941955573808654	3.9941955573808654	2.6475460687125545	2.6475460687125545	-0.53	22676.463752160347	19.470000000000002	16.52414185165133	17.470000000000002	125.89902282481172	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	96.81523992065479	6.4208216229260096	6.4208216229260096	0.0	9.901064578912528	5.969305287951849	0.0	0.0	0.0	109.65688316650682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	4.794537184071822	0.0	109.65688316650682	0.0	0.0	0.0	0.0	37.3	5.969305287951849	4.794537184071822	0.0	0.0	6.4208216229260096	12.841643245852019	83.47068109803816	0.0	0.0	6.923737199690624	5.106527394840706	0.0	0.0	10.333207244414826	8.51732177827958	0.0	-0.6530610164081214	0.0	20.199197231189732	2.2700014291906463	0.0	0.9444444444444444	20	1	2	0	0	0	0	0	0	1	1	2	16	0	0	0	0	6.332500000000007	87.18180000000008	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
7	map00061	C01571	lipid_metabolism	Fatty Acyls [FA]	CCCCCCCCCC(=O)O	10.134489279910005	-0.6633720448055762	10.134489279910005	0.34104938271604945	0.570683149963468	172.268	152.10799999999998	172.14632988	72	0	0.3028395565321837	-0.481230389785217	0.481230389785217	0.3028395565321837	1.0	1.5	2.0	2.86138733944056	110.40620687739317	9.234204518682008	8.012316135456203	8.012316135456203	5.770055610029663	4.988391114761732	4.988391114761732	3.2650588867829953	3.2650588867829953	1.9941955573808654	1.9941955573808654	1.2333325063394598	1.2333325063394598	-0.53	402.8484647807608	11.47	8.565510983763133	9.47	74.97948590963883	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	45.448666937246685	6.4208216229260096	6.4208216229260096	0.0	9.901064578912528	5.969305287951849	0.0	0.0	0.0	58.29031018309871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	4.794537184071822	0.0	58.29031018309871	0.0	0.0	0.0	0.0	37.3	5.969305287951849	4.794537184071822	0.0	0.0	6.4208216229260096	12.841643245852019	32.10410811463005	0.0	0.0	6.923737199690624	5.106527394840706	0.0	0.0	10.134489279910005	8.354234863711325	0.0	-0.6633720448055762	0.0	8.642477534223566	2.1988370336273477	0.0	0.9	12	1	2	0	0	0	0	0	0	1	1	2	8	0	0	0	0	3.2117000000000013	50.245800000000024	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
8	map00061	C02679	lipid_metabolism	Fatty Acyls [FA]	C(CC)CCCCCCCCC(=O)O	10.206401754575976	-0.6593094491520717	10.206401754575976	0.3430899908172633	0.5412525786782162	200.32199999999997	176.12999999999997	200.177630008	84	0	0.3028395565321837	-0.481230389785217	0.481230389785217	0.3028395565321837	0.8571428571428571	1.2857142857142858	1.7142857142857142	2.884064614706359	132.28341890015258	10.648418081055103	9.426529697829299	9.426529697829299	6.770055610029663	5.988391114761732	5.988391114761732	3.9721656679695423	3.9721656679695423	2.494195557380866	2.494195557380866	1.5868858969327333	1.5868858969327333	-0.53	1119.28168851183	13.47	10.550192461908578	11.47	87.70937013843205	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	58.29031018309871	6.4208216229260096	6.4208216229260096	0.0	9.901064578912528	5.969305287951849	0.0	0.0	0.0	71.13195342895074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	4.794537184071822	0.0	71.13195342895074	0.0	0.0	0.0	0.0	37.3	5.969305287951849	4.794537184071822	0.0	0.0	6.4208216229260096	12.841643245852019	44.94575136048208	0.0	0.0	6.923737199690624	5.106527394840706	0.0	0.0	10.206401754575976	8.413285734169538	0.0	-0.6593094491520717	0.0	11.478212153140003	2.2280764739332213	0.0	0.9166666666666666	14	1	2	0	0	0	0	0	0	1	1	2	10	0	0	0	0	3.991900000000002	59.47980000000005	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
9	map00061	C06423	lipid_metabolism	Fatty Acyls [FA]	CCCCCCCC(=O)O	10.031994126354245	-0.6699088246409672	10.031994126354245	0.33701814058956914	0.5811557038471341	144.214	128.08599999999998	144.115029752	60	0	0.30283955653217365	-0.481230389785217	0.481230389785217	0.30283955653217365	1.2	1.8	2.3	2.838589121813916	89.25838096618138	7.819990956308912	6.598102573083107	6.598102573083107	4.770055610029662	3.9883911147617317	3.9883911147617317	2.557952105596448	2.557952105596448	1.4941955573808654	1.4941955573808654	0.8797791157461863	0.8797791157461863	-0.53	142.19516056908168	9.47	6.588063754427392	7.470000000000003	62.24960168084558	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	4.794537184071822	0.0	0.0	0.0	32.60702369139466	6.4208216229260096	6.4208216229260096	0.0	9.901064578912528	5.969305287951849	0.0	0.0	0.0	45.448666937246685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	4.794537184071822	0.0	45.448666937246685	0.0	0.0	0.0	0.0	37.3	5.969305287951849	4.794537184071822	0.0	0.0	6.4208216229260096	12.841643245852019	19.26246486877803	0.0	0.0	6.923737199690624	5.106527394840706	0.0	0.0	10.031994126354245	8.270004172965482	0.0	-0.6699088246409672	0.0	5.884581443688586	2.14999574829932	0.0	0.875	10	1	2	0	0	0	0	0	0	1	1	2	6	0	0	0	0	2.4314999999999998	41.0118	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
