	path	cpd	path_class	lipid_core
0	map00010	C00022	Carbohydrat_metabolism	Fatty Acyls [FA]
1	map00010	C00024	Carbohydrat_metabolism	Fatty Acyls [FA]
3	map00010	C00033	Carbohydrat_metabolism	Fatty Acyls [FA]
4	map00010	C00036	Carbohydrat_metabolism	Fatty Acyls [FA]
30	map00010	C16255	Carbohydrat_metabolism	Fatty Acyls [FA]
31	map00020	C00022	Carbohydrat_metabolism	Fatty Acyls [FA]
32	map00020	C00024	Carbohydrat_metabolism	Fatty Acyls [FA]
34	map00020	C00036	Carbohydrat_metabolism	Fatty Acyls [FA]
35	map00020	C00042	Carbohydrat_metabolism	Fatty Acyls [FA]
38	map00020	C00091	Carbohydrat_metabolism	Fatty Acyls [FA]
50	map00020	C16255	Carbohydrat_metabolism	Fatty Acyls [FA]
51	map00030	C00022	Carbohydrat_metabolism	Fatty Acyls [FA]
60	map00030	C00204	Carbohydrat_metabolism	Fatty Acyls [FA]
86	map00040	C00022	Carbohydrat_metabolism	Fatty Acyls [FA]
96	map00040	C00204	Carbohydrat_metabolism	Fatty Acyls [FA]
129	map00040	C03033	Carbohydrat_metabolism	Sterols [ST]
131	map00040	C03826	Carbohydrat_metabolism	Fatty Acyls [FA]
133	map00040	C04349	Carbohydrat_metabolism	Fatty Acyls [FA]
134	map00040	C04575	Carbohydrat_metabolism	Fatty Acyls [FA]
176	map00051	C01934	Carbohydrat_metabolism	Fatty Acyls [FA]
224	map00052	C01216	Carbohydrat_metabolism	Fatty Acyls [FA]
244	map00053	C00022	Carbohydrat_metabolism	Fatty Acyls [FA]
263	map00053	C00684	Carbohydrat_metabolism	Fatty Acyls [FA]
278	map00053	C03033	Carbohydrat_metabolism	Sterols [ST]
282	map00053	C03826	Carbohydrat_metabolism	Fatty Acyls [FA]
285	map00053	C04575	Carbohydrat_metabolism	Fatty Acyls [FA]
301	map00061	C00024	lipid_metabolism	Fatty Acyls [FA]
302	map00061	C00083	lipid_metabolism	Fatty Acyls [FA]
303	map00061	C00154	lipid_metabolism	Fatty Acyls [FA]
306	map00061	C00249	lipid_metabolism	Fatty Acyls [FA]
307	map00061	C00383	lipid_metabolism	Fatty Acyls [FA]
311	map00061	C00712	lipid_metabolism	Fatty Acyls [FA]
315	map00061	C01530	lipid_metabolism	Fatty Acyls [FA]
316	map00061	C01571	lipid_metabolism	Fatty Acyls [FA]
317	map00061	C02679	lipid_metabolism	Fatty Acyls [FA]
330	map00061	C05745	lipid_metabolism	Fatty Acyls [FA]
331	map00061	C05746	lipid_metabolism	Fatty Acyls [FA]
332	map00061	C05747	lipid_metabolism	Fatty Acyls [FA]
333	map00061	C05748	lipid_metabolism	Fatty Acyls [FA]
334	map00061	C05749	lipid_metabolism	Fatty Acyls [FA]
335	map00061	C05750	lipid_metabolism	Fatty Acyls [FA]
336	map00061	C05751	lipid_metabolism	Fatty Acyls [FA]
337	map00061	C05752	lipid_metabolism	Fatty Acyls [FA]
338	map00061	C05753	lipid_metabolism	Fatty Acyls [FA]
339	map00061	C05754	lipid_metabolism	Fatty Acyls [FA]
340	map00061	C05755	lipid_metabolism	Fatty Acyls [FA]
341	map00061	C05756	lipid_metabolism	Fatty Acyls [FA]
342	map00061	C05757	lipid_metabolism	Fatty Acyls [FA]
343	map00061	C05758	lipid_metabolism	Fatty Acyls [FA]
344	map00061	C05759	lipid_metabolism	Fatty Acyls [FA]
345	map00061	C05760	lipid_metabolism	Fatty Acyls [FA]
347	map00061	C05762	lipid_metabolism	Fatty Acyls [FA]
